Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Sam Smith,Lay Me Down,63,8,17,2015-06-12
Canaan Smith,Love You Like That,64,64,10,2015-06-12
Easton Corbin,Baby Be My Love Song,65,65,8,2015-06-12
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,66,66,4,2015-06-12
Zac Brown Band,Homegrown,67,35,20,2015-06-12
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,68,68,11,2015-06-12
Brantley Gilbert,One Hell Of An Amen,69,69,5,2015-06-12
J. Cole,Wet Dreamz,70,70,8,2015-06-12
"Wale, Usher",The Matrimony,71,71,9,2015-06-12
Kelly Clarkson,Heartbeat Song,72,21,20,2015-06-12
Eric Church,Like A Wrecking Ball,73,73,10,2015-06-12
Jason Aldean,Tonight Looks Good On You,74,53,6,2015-06-12
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,75,4,19,2015-06-12
Thomas Rhett,Crash And Burn,76,76,3,2015-06-12
Carly Rae Jepsen,I Really Like You,77,39,13,2015-06-12
"Jidenna, Roman GianArthur",Classic Man,78,74,4,2015-06-12
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,79,15,13,2015-06-12
"A$AP Rocky, ScHoolboy Q",Electric Body,80,,,2015-06-12
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,81,74,3,2015-06-12
Drake,Know Yourself,82,53,15,2015-06-12
Brad Paisley,Crushin' It,83,83,5,2015-06-12
"Nicky Jam, Enrique Iglesias",El Perdon,84,66,10,2015-06-12
"Zedd, Selena Gomez",I Want You To Know,85,17,14,2015-06-12
Drake,Energy,86,26,16,2015-06-12
"Mumford, Sons",Believe,87,31,12,2015-06-12
Ciara,I Bet,88,43,14,2015-06-12
Shawn Mendes,Stitches,89,,,2015-06-12
Zac Brown Band,Loving You Easy,90,,,2015-06-12
Frankie Ballard,Young & Crazy,91,,,2015-06-12
Chris Janson,Buy Me A Boat,92,,,2015-06-12
"Jamie Foxx, Chris Brown",You Changed Me,93,,,2015-06-12
Michael Ray,Kiss You In The Morning,94,,,2015-06-12
"Jeremih, J. Cole",Planez,95,,,2015-06-12
"Kevin Gates, August Alsina",I Don't Get Tired,96,90,6,2015-06-12
X Ambassadors,Renegades,97,69,7,2015-06-12
Kendrick Lamar,King Kunta,98,58,11,2015-06-12
"Keith Urban, Eric Church",Raise 'Em Up,99,56,14,2015-06-12
Chedda Da Connect,Flicka Da Wrist,100,94,3,2015-06-12
"Taylor Swift, Kendrick Lamar",Bad Blood,1,1,4,2015-06-05
Fetty Wap,Trap Queen,3,2,18,2015-06-05
WALK THE MOON,Shut Up And Dance,4,4,28,2015-06-05
The Weeknd,Earned It,5,3,22,2015-06-05
"Mark Ronson, Bruno Mars",Uptown Funk!,6,1,28,2015-06-05
Jason Derulo,Want To Want Me,7,6,11,2015-06-05
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,8,8,9,2015-06-05
Maroon 5,Sugar,9,2,19,2015-06-05
T,Nasty Freestyle,10,9,6,2015-06-05
Ellie Goulding,Love Me Like You Do,11,3,20,2015-06-05
Andy Grammer,"Honey, I'm Good.",12,12,13,2015-06-05
Tove Lo,Talking Body,13,13,17,2015-06-05
Meghan Trainor,Dear Future Husband,14,14,19,2015-06-05
"Omarion, Chris Brown, Jhene Aiko",Post To Be,15,13,20,2015-06-05
Ed Sheeran,Thinking Out Loud,16,2,33,2015-06-05
"Fifth Harmony, Kid Ink",Worth It,17,17,14,2015-06-05
"DJ Snake, AlunaGeorge",You Know You Like It,18,18,9,2015-06-05
"Natalie La Rose, Jeremih",Somebody,19,10,18,2015-06-05
"Skrillex, Diplo With Justin Bieber",Where Are U Now,20,20,12,2015-06-05
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,21,8,28,2015-06-05
Little Big Town,Girl Crush,22,18,14,2015-06-05
Taylor Swift,Style,23,6,24,2015-06-05
Rihanna,B**** Better Have My Money,24,17,9,2015-06-05
Silento,Watch Me,25,25,13,2015-06-05
Luke Bryan,Kick The Dust Up,26,,,2015-06-05
OMI,Cheerleader,27,27,5,2015-06-05
Nick Jonas,Chains,28,13,17,2015-06-05
Trey Songz,Slow Motion,29,26,15,2015-06-05
Rachel Platten,Fight Song,30,28,6,2015-06-05
Maroon 5,This Summer's Gonna Hurt...,31,31,2,2015-06-05
Taylor Swift,Blank Space,32,1,30,2015-06-05
"Major Lazer, DJ Snake, MO",Lean On,33,33,7,2015-06-05
Taylor Swift,Shake It Off,34,1,40,2015-06-05
George Ezra,Budapest,35,32,17,2015-06-05
Sia,Elastic Heart,36,17,20,2015-06-05
Sawyer Fredericks,Please,37,,,2015-06-05
"Britney Spears, Iggy Azalea",Pretty Girls,38,29,3,2015-06-05
"Nicki Minaj, Beyonce",Feeling Myself,39,39,20,2015-06-05
Ariana Grande,One Last Time,40,13,15,2015-06-05
Sam Hunt,Take Your Time,41,20,21,2015-06-05
"Bandit Gang Marco, Dro",Nasty,42,41,5,2015-06-05
Blake Shelton,Sangria,43,43,6,2015-06-05
Rich Homie Quan,Flex,44,44,5,2015-06-05
"Big Sean, Drake",Blessings,45,28,16,2015-06-05
"Pitbull, Ne",Time Of Our Lives,46,9,24,2015-06-05
Meghan Trainor,All About That Bass,47,1,46,2015-06-05
Hozier,Take Me To Church,48,2,41,2015-06-05
Florida Georgia Line,Sippin' On Fire,49,40,11,2015-06-05
Echosmith,Bright,50,45,10,2015-06-05
Nicki Minaj,The Night Is Still Young,51,51,3,2015-06-05
Billy Currington,Don't It,52,44,12,2015-06-05
A Thousand Horses,Smoke,53,47,13,2015-06-05
"Pitbull, Chris Brown",Fun,54,54,2,2015-06-05
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,55,14,18,2015-06-05
Sam Smith,Lay Me Down,56,8,16,2015-06-05
"Kid Ink, DeJ Loaf",Be Real,57,57,6,2015-06-05
Ed Sheeran,Photograph,58,58,2,2015-06-05
"Chris Brown, Tyga",Ayo,59,21,20,2015-06-05
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,60,15,12,2015-06-05
Future,Commas,61,60,8,2015-06-05
Kelsea Ballerini,Love Me Like You Mean It,62,62,8,2015-06-05
Sawyer Fredericks,Old Man,63,,,2015-06-05
Kenny Chesney With Grace Potter,Wild Child,64,64,10,2015-06-05
Carrie Underwood,Little Toy Guns,65,64,10,2015-06-05
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,66,4,18,2015-06-05
Zac Brown Band,Homegrown,67,35,19,2015-06-05
Jessie J,Flashlight,68,,,2015-06-05
"Zedd, Selena Gomez",I Want You To Know,69,17,13,2015-06-05
Fall Out Boy,Uma Thurman,70,70,7,2015-06-05
Kelly Clarkson,Heartbeat Song,71,21,19,2015-06-05
Canaan Smith,Love You Like That,72,70,9,2015-06-05
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,73,73,3,2015-06-05
"Jidenna, Roman GianArthur",Classic Man,74,74,3,2015-06-05
Eric Church,Like A Wrecking Ball,75,75,9,2015-06-05
J. Cole,Wet Dreamz,76,73,7,2015-06-05
Brantley Gilbert,One Hell Of An Amen,77,77,4,2015-06-05
"Wale, Usher",The Matrimony,78,73,8,2015-06-05
Drake,Know Yourself,79,53,14,2015-06-05
Carly Rae Jepsen,I Really Like You,80,39,12,2015-06-05
Easton Corbin,Baby Be My Love Song,81,79,7,2015-06-05
Drake,Energy,82,26,15,2015-06-05
"Mumford, Sons",Believe,83,31,11,2015-06-05
"Keith Urban, Eric Church",Raise 'Em Up,84,56,13,2015-06-05
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,85,75,10,2015-06-05
Ciara,I Bet,86,43,13,2015-06-05
"Nicky Jam, Enrique Iglesias",El Perdon,87,66,9,2015-06-05
"Zedd, Jon Bellion",Beautiful Now,88,,,2015-06-05
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,89,74,2,2015-06-05
Kendrick Lamar,King Kunta,90,58,10,2015-06-05
Thomas Rhett,Crash And Burn,91,91,2,2015-06-05
Meghan Linsey,Change My Mind,92,,,2015-06-05
Eric Paslay,She Don't Love You,93,77,12,2015-06-05
Jason Aldean,Tonight Looks Good On You,94,53,5,2015-06-05
"Dillon Francis, DJ Snake",Get Low,95,61,8,2015-06-05
Brad Paisley,Crushin' It,96,96,4,2015-06-05
twenty one pilots,Stressed Out,97,87,2,2015-06-05
X Ambassadors,Renegades,98,69,6,2015-06-05
Luke Bryan,Games,99,92,5,2015-06-05
"Kevin Gates, August Alsina",I Don't Get Tired,100,90,5,2015-06-05
"Wiz Khalifa, Charlie Puth",See You Again,1,1,0,2015-05-29
The Weeknd,Earned It,3,3,21,2015-05-29
WALK THE MOON,Shut Up And Dance,4,4,27,2015-05-29
"Mark Ronson, Bruno Mars",Uptown Funk!,5,1,27,2015-05-29
Jason Derulo,Want To Want Me,6,6,10,2015-05-29
Maroon 5,Sugar,7,2,18,2015-05-29
Ellie Goulding,Love Me Like You Do,8,3,19,2015-05-29
T,Nasty Freestyle,9,9,5,2015-05-29
Ed Sheeran,Thinking Out Loud,10,2,32,2015-05-29
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,11,11,8,2015-05-29
Andy Grammer,"Honey, I'm Good.",12,12,12,2015-05-29
Tove Lo,Talking Body,13,13,16,2015-05-29
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,14,8,27,2015-05-29
"Omarion, Chris Brown, Jhene Aiko",Post To Be,15,13,19,2015-05-29
"Natalie La Rose, Jeremih",Somebody,16,10,17,2015-05-29
Meghan Trainor,Dear Future Husband,17,16,18,2015-05-29
"DJ Snake, AlunaGeorge",You Know You Like It,18,18,8,2015-05-29
"Fifth Harmony, Kid Ink",Worth It,19,19,13,2015-05-29
Taylor Swift,Style,20,6,23,2015-05-29
Nick Jonas,Chains,21,13,16,2015-05-29
"Skrillex, Diplo With Justin Bieber",Where Are U Now,22,22,11,2015-05-29
Little Big Town,Girl Crush,23,18,13,2015-05-29
Ariana Grande,One Last Time,24,13,14,2015-05-29
Rihanna,B**** Better Have My Money,25,17,8,2015-05-29
Trey Songz,Slow Motion,26,26,14,2015-05-29
Silento,Watch Me,27,27,12,2015-05-29
Rachel Platten,Fight Song,28,28,5,2015-05-29
Taylor Swift,Blank Space,29,1,29,2015-05-29
"Britney Spears, Iggy Azalea",Pretty Girls,30,29,2,2015-05-29
OMI,Cheerleader,31,31,4,2015-05-29
George Ezra,Budapest,32,32,16,2015-05-29
Sam Hunt,Take Your Time,33,20,20,2015-05-29
Taylor Swift,Shake It Off,34,1,39,2015-05-29
"Big Sean, Drake",Blessings,35,28,15,2015-05-29
"Major Lazer, DJ Snake, MO",Lean On,36,36,6,2015-05-29
"Pitbull, Ne",Time Of Our Lives,37,9,23,2015-05-29
Sam Smith,Lay Me Down,38,8,15,2015-05-29
Hozier,Take Me To Church,39,2,40,2015-05-29
Florida Georgia Line,Sippin' On Fire,40,40,10,2015-05-29
"Bandit Gang Marco, Dro",Nasty,41,41,4,2015-05-29
Sia,Elastic Heart,42,17,19,2015-05-29
Blake Shelton,Sangria,43,43,5,2015-05-29
"Rae Sremmurd, Nicki Minaj, Young Thug",Throw Sum Mo,44,30,20,2015-05-29
Echosmith,Bright,45,45,9,2015-05-29
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,46,14,17,2015-05-29
A Thousand Horses,Smoke,47,47,12,2015-05-29
Billy Currington,Don't It,48,44,11,2015-05-29
Meghan Trainor,All About That Bass,49,1,45,2015-05-29
Sam Smith,I'm Not The Only One,50,5,37,2015-05-29
"Chris Brown, Tyga",Ayo,51,21,19,2015-05-29
Tyler Farr,A Guy Walks Into A Bar,52,51,20,2015-05-29
"Taylor Swift, Kendrick Lamar",Bad Blood,53,53,3,2015-05-29
Sheppard,Geronimo,54,53,21,2015-05-29
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,55,15,11,2015-05-29
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,56,4,17,2015-05-29
Chris Young,I'm Comin' Over,57,,,2015-05-29
"Kid Ink, DeJ Loaf",Be Real,58,58,5,2015-05-29
Zac Brown Band,Homegrown,59,35,18,2015-05-29
Future,Commas,60,60,7,2015-05-29
Kelly Clarkson,Heartbeat Song,61,21,18,2015-05-29
Rich Homie Quan,Flex,62,62,4,2015-05-29
"Mumford, Sons",Believe,63,31,10,2015-05-29
Carrie Underwood,Little Toy Guns,64,64,9,2015-05-29
"Keith Urban, Eric Church",Raise 'Em Up,65,56,12,2015-05-29
Nicki Minaj,The Night Is Still Young,66,66,2,2015-05-29
Maroon 5,This Summer's Gonna Hurt...,67,,,2015-05-29
Kenny Chesney With Grace Potter,Wild Child,68,68,9,2015-05-29
Kelsea Ballerini,Love Me Like You Mean It,69,69,7,2015-05-29
Canaan Smith,Love You Like That,70,70,8,2015-05-29
Ciara,I Bet,71,43,12,2015-05-29
"Zedd, Selena Gomez",I Want You To Know,72,17,12,2015-05-29
"Wale, Usher",The Matrimony,73,73,7,2015-05-29
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,74,,,2015-05-29
Drake,Know Yourself,75,53,13,2015-05-29
Carly Rae Jepsen,I Really Like You,76,39,11,2015-05-29
"Pitbull, Chris Brown",Fun,77,,,2015-05-29
Drake,Energy,78,26,14,2015-05-29
Eric Church,Like A Wrecking Ball,79,77,8,2015-05-29
Dierks Bentley,Say You Do,80,52,18,2015-05-29
"Jidenna, Roman GianArthur",Classic Man,81,81,2,2015-05-29
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,82,75,9,2015-05-29
Kendrick Lamar,King Kunta,83,58,9,2015-05-29
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,84,84,2,2015-05-29
J. Cole,Wet Dreamz,85,73,6,2015-05-29
"Nicky Jam, Enrique Iglesias",El Perdon,86,66,8,2015-05-29
Nate Ruess,Nothing Without Love,87,77,4,2015-05-29
Fall Out Boy,Uma Thurman,88,73,6,2015-05-29
Easton Corbin,Baby Be My Love Song,89,79,6,2015-05-29
Brantley Gilbert,One Hell Of An Amen,90,85,3,2015-05-29
Eric Paslay,She Don't Love You,91,77,11,2015-05-29
Ed Sheeran,Photograph,92,,,2015-05-29
Nick Fradiani,Beautiful Life,93,,,2015-05-29
Sawyer Fredericks,A Thousand Years,94,,,2015-05-29
X Ambassadors,Renegades,95,69,5,2015-05-29
"Dillon Francis, DJ Snake",Get Low,96,61,7,2015-05-29
Jason Aldean,Tonight Looks Good On You,97,53,4,2015-05-29
Luke Bryan,Games,98,92,4,2015-05-29
"Kevin Gates, August Alsina",I Don't Get Tired,99,90,4,2015-05-29
Brad Paisley,Crushin' It,100,96,3,2015-05-29
"Wiz Khalifa, Charlie Puth",See You Again,1,1,9,2015-05-22
The Weeknd,Earned It,3,3,20,2015-05-22
"Mark Ronson, Bruno Mars",Uptown Funk!,4,1,26,2015-05-22
WALK THE MOON,Shut Up And Dance,5,5,26,2015-05-22
Maroon 5,Sugar,6,2,17,2015-05-22
Ellie Goulding,Love Me Like You Do,7,3,18,2015-05-22
Jason Derulo,Want To Want Me,8,8,9,2015-05-22
Ed Sheeran,Thinking Out Loud,9,2,31,2015-05-22
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,10,8,26,2015-05-22
T,Nasty Freestyle,11,9,4,2015-05-22
"Natalie La Rose, Jeremih",Somebody,12,10,16,2015-05-22
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,13,13,7,2015-05-22
"Omarion, Chris Brown, Jhene Aiko",Post To Be,14,13,18,2015-05-22
Tove Lo,Talking Body,15,15,15,2015-05-22
Meghan Trainor,Dear Future Husband,16,16,17,2015-05-22
Taylor Swift,Style,17,6,22,2015-05-22
Andy Grammer,"Honey, I'm Good.",18,17,11,2015-05-22
Ariana Grande,One Last Time,19,13,13,2015-05-22
Nick Jonas,Chains,20,13,15,2015-05-22
"Fifth Harmony, Kid Ink",Worth It,21,21,12,2015-05-22
"DJ Snake, AlunaGeorge",You Know You Like It,22,22,7,2015-05-22
Rihanna,B**** Better Have My Money,23,17,7,2015-05-22
"Skrillex, Diplo With Justin Bieber",Where Are U Now,24,24,10,2015-05-22
Little Big Town,Girl Crush,25,18,12,2015-05-22
Taylor Swift,Blank Space,26,1,28,2015-05-22
Trey Songz,Slow Motion,27,27,13,2015-05-22
Sam Smith,Lay Me Down,28,8,14,2015-05-22
"Britney Spears, Iggy Azalea",Pretty Girls,29,,,2015-05-22
Sam Hunt,Take Your Time,30,20,19,2015-05-22
"Pitbull, Ne",Time Of Our Lives,31,9,22,2015-05-22
"Big Sean, Drake",Blessings,32,28,14,2015-05-22
Silento,Watch Me,33,33,11,2015-05-22
George Ezra,Budapest,34,34,15,2015-05-22
Taylor Swift,Shake It Off,35,1,38,2015-05-22
"Rae Sremmurd, Nicki Minaj, Young Thug",Throw Sum Mo,36,30,19,2015-05-22
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,37,14,16,2015-05-22
Hozier,Take Me To Church,38,2,39,2015-05-22
"Chris Brown, Tyga",Ayo,39,21,18,2015-05-22
Florida Georgia Line,Sippin' On Fire,40,40,9,2015-05-22
Sia,Elastic Heart,41,17,18,2015-05-22
Sam Smith,I'm Not The Only One,42,5,36,2015-05-22
Meghan Trainor,All About That Bass,43,1,44,2015-05-22
Billy Currington,Don't It,44,44,10,2015-05-22
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,45,4,16,2015-05-22
Blake Shelton,Sangria,46,44,4,2015-05-22
OMI,Cheerleader,47,47,3,2015-05-22
Meghan Trainor,Lips Are Movin,48,4,29,2015-05-22
A Thousand Horses,Smoke,49,49,11,2015-05-22
Echosmith,Bright,50,50,8,2015-05-22
Tyler Farr,A Guy Walks Into A Bar,51,51,19,2015-05-22
"Major Lazer, DJ Snake, MO",Lean On,52,52,5,2015-05-22
Rachel Platten,Fight Song,53,50,4,2015-05-22
"Mumford, Sons",Believe,54,31,9,2015-05-22
Sheppard,Geronimo,55,53,20,2015-05-22
"Keith Urban, Eric Church",Raise 'Em Up,56,56,11,2015-05-22
Zac Brown Band,Homegrown,57,35,17,2015-05-22
Kelly Clarkson,Heartbeat Song,58,21,17,2015-05-22
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,59,15,10,2015-05-22
"Bandit Gang Marco, Dro",Nasty,60,60,3,2015-05-22
Ciara,I Bet,61,43,11,2015-05-22
Rich Homie Quan,Flex,62,62,3,2015-05-22
"Zedd, Selena Gomez",I Want You To Know,63,17,11,2015-05-22
"Kid Ink, DeJ Loaf",Be Real,64,64,4,2015-05-22
Future,Commas,65,64,6,2015-05-22
Dierks Bentley,Say You Do,66,52,17,2015-05-22
Carly Rae Jepsen,I Really Like You,67,39,10,2015-05-22
Drake,Know Yourself,68,53,12,2015-05-22
Carrie Underwood,Little Toy Guns,69,69,8,2015-05-22
Kenny Chesney With Grace Potter,Wild Child,70,70,8,2015-05-22
Drake,Energy,71,26,13,2015-05-22
Canaan Smith,Love You Like That,72,72,7,2015-05-22
Kelsea Ballerini,Love Me Like You Mean It,73,73,6,2015-05-22
"Wale, Usher",The Matrimony,74,74,6,2015-05-22
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,75,75,8,2015-05-22
X Ambassadors,Renegades,76,69,4,2015-05-22
Eric Church,Like A Wrecking Ball,77,77,7,2015-05-22
Miguel,Coffee,78,,,2015-05-22
Easton Corbin,Baby Be My Love Song,79,79,5,2015-05-22
Kendrick Lamar,King Kunta,80,58,8,2015-05-22
Eric Paslay,She Don't Love You,81,77,10,2015-05-22
J. Cole,Wet Dreamz,82,73,5,2015-05-22
"Nicky Jam, Enrique Iglesias",El Perdon,83,66,7,2015-05-22
Fall Out Boy,Uma Thurman,84,73,5,2015-05-22
Brantley Gilbert,One Hell Of An Amen,85,85,2,2015-05-22
"Dillon Francis, DJ Snake",Get Low,86,61,6,2015-05-22
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,87,,,2015-05-22
Jason Aldean,Tonight Looks Good On You,88,53,3,2015-05-22
"Jidenna, Roman GianArthur",Classic Man,89,,,2015-05-22
Cole Swindell,Ain't Worth The Whiskey,90,43,19,2015-05-22
"Kevin Gates, August Alsina",I Don't Get Tired,91,90,3,2015-05-22
Luke Bryan,Games,92,92,3,2015-05-22
Nicki Minaj,The Night Is Still Young,93,,,2015-05-22
Nate Ruess,Nothing Without Love,94,77,3,2015-05-22
Tori Kelly,Nobody Love,95,60,11,2015-05-22
Brad Paisley,Crushin' It,96,96,2,2015-05-22
Rihanna,American Oxygen,97,78,4,2015-05-22
Chedda Da Connect,Flicka Da Wrist,98,94,2,2015-05-22
Sawyer Fredericks,Shine On,99,,,2015-05-22
Drake,10 Bands,100,58,13,2015-05-22
"Wiz Khalifa, Charlie Puth",See You Again,1,1,8,2015-05-15
"Mark Ronson, Bruno Mars",Uptown Funk!,3,1,25,2015-05-15
The Weeknd,Earned It,4,3,19,2015-05-15
WALK THE MOON,Shut Up And Dance,5,5,25,2015-05-15
Maroon 5,Sugar,6,2,16,2015-05-15
Ellie Goulding,Love Me Like You Do,7,3,17,2015-05-15
Jason Derulo,Want To Want Me,8,8,8,2015-05-15
T,Nasty Freestyle,9,9,3,2015-05-15
Ed Sheeran,Thinking Out Loud,10,2,30,2015-05-15
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,11,8,25,2015-05-15
"Natalie La Rose, Jeremih",Somebody,12,10,15,2015-05-15
"Omarion, Chris Brown, Jhene Aiko",Post To Be,13,13,17,2015-05-15
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,14,14,6,2015-05-15
Taylor Swift,Style,15,6,21,2015-05-15
Tove Lo,Talking Body,16,16,14,2015-05-15
Andy Grammer,"Honey, I'm Good.",17,17,10,2015-05-15
Meghan Trainor,Dear Future Husband,18,18,16,2015-05-15
Ariana Grande,One Last Time,19,13,12,2015-05-15
Nick Jonas,Chains,20,13,14,2015-05-15
"Fifth Harmony, Kid Ink",Worth It,21,21,11,2015-05-15
Rihanna,B**** Better Have My Money,22,17,6,2015-05-15
Sam Smith,Lay Me Down,23,8,13,2015-05-15
Little Big Town,Girl Crush,24,18,11,2015-05-15
Taylor Swift,Blank Space,25,1,27,2015-05-15
"DJ Snake, AlunaGeorge",You Know You Like It,26,26,6,2015-05-15
Sam Hunt,Take Your Time,27,20,18,2015-05-15
"Big Sean, Drake",Blessings,28,28,13,2015-05-15
"Pitbull, Ne",Time Of Our Lives,29,9,21,2015-05-15
"Skrillex, Diplo With Justin Bieber",Where Are U Now,30,30,9,2015-05-15
Trey Songz,Slow Motion,31,31,12,2015-05-15
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,32,14,15,2015-05-15
"Rae Sremmurd, Nicki Minaj, Young Thug",Throw Sum Mo,33,30,18,2015-05-15
Taylor Swift,Shake It Off,34,1,37,2015-05-15
Hozier,Take Me To Church,35,2,38,2015-05-15
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,36,4,15,2015-05-15
George Ezra,Budapest,37,37,14,2015-05-15
Silento,Watch Me,38,38,10,2015-05-15
"Chris Brown, Tyga",Ayo,39,21,17,2015-05-15
Zac Brown Band,Homegrown,40,35,16,2015-05-15
Sam Smith,I'm Not The Only One,41,5,35,2015-05-15
Meghan Trainor,Lips Are Movin,42,4,28,2015-05-15
Meghan Trainor,All About That Bass,43,1,43,2015-05-15
Blake Shelton,Sangria,44,44,3,2015-05-15
Florida Georgia Line,Sippin' On Fire,45,44,8,2015-05-15
"Zedd, Selena Gomez",I Want You To Know,46,17,10,2015-05-15
Sia,Elastic Heart,47,17,17,2015-05-15
Billy Currington,Don't It,48,48,9,2015-05-15
Fall Out Boy,Centuries,49,10,34,2015-05-15
Rachel Platten,Fight Song,50,50,3,2015-05-15
Kelly Clarkson,Heartbeat Song,51,21,16,2015-05-15
Tyler Farr,A Guy Walks Into A Bar,52,52,18,2015-05-15
Sheppard,Geronimo,53,53,19,2015-05-15
Dierks Bentley,Say You Do,54,52,16,2015-05-15
A Thousand Horses,Smoke,55,55,10,2015-05-15
"Keith Urban, Eric Church",Raise 'Em Up,56,56,10,2015-05-15
Echosmith,Bright,57,57,7,2015-05-15
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,58,15,9,2015-05-15
"Major Lazer, DJ Snake, MO",Lean On,59,59,4,2015-05-15
Tori Kelly,Nobody Love,60,60,10,2015-05-15
Ciara,I Bet,61,43,10,2015-05-15
Drake,Know Yourself,62,53,11,2015-05-15
OMI,Cheerleader,63,63,2,2015-05-15
Future,Commas,64,64,5,2015-05-15
"Bandit Gang Marco, Dro",Nasty,65,65,2,2015-05-15
Rich Homie Quan,Flex,66,66,2,2015-05-15
Drake,Energy,67,26,12,2015-05-15
"Kid Ink, DeJ Loaf",Be Real,68,68,3,2015-05-15
X Ambassadors,Renegades,69,69,3,2015-05-15
Carrie Underwood,Little Toy Guns,70,70,7,2015-05-15
Sawyer Fredericks,Simple Man,71,,,2015-05-15
Kendrick Lamar,King Kunta,72,58,7,2015-05-15
Kenny Chesney With Grace Potter,Wild Child,73,73,7,2015-05-15
"Wale, Usher",The Matrimony,74,74,5,2015-05-15
Carly Rae Jepsen,I Really Like You,75,39,9,2015-05-15
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,76,76,7,2015-05-15
Canaan Smith,Love You Like That,77,77,6,2015-05-15
Eric Church,Like A Wrecking Ball,78,78,6,2015-05-15
"Mumford, Sons",Believe,79,31,8,2015-05-15
Kelsea Ballerini,Love Me Like You Mean It,80,80,5,2015-05-15
Easton Corbin,Baby Be My Love Song,81,81,4,2015-05-15
Mariah Carey,Infinity,82,,,2015-05-15
Eric Paslay,She Don't Love You,83,77,9,2015-05-15
"Dillon Francis, DJ Snake",Get Low,84,61,5,2015-05-15
"Nicky Jam, Enrique Iglesias",El Perdon,85,66,6,2015-05-15
Cole Swindell,Ain't Worth The Whiskey,86,43,18,2015-05-15
twenty one pilots,Stressed Out,87,,,2015-05-15
J. Cole,Wet Dreamz,88,73,4,2015-05-15
Nate Ruess,Nothing Without Love,89,77,2,2015-05-15
"Kevin Gates, August Alsina",I Don't Get Tired,90,90,2,2015-05-15
Rihanna,American Oxygen,91,78,3,2015-05-15
Drake,10 Bands,92,58,12,2015-05-15
Fall Out Boy,Uma Thurman,93,73,4,2015-05-15
Chedda Da Connect,Flicka Da Wrist,94,,,2015-05-15
Drake,Legend,95,52,12,2015-05-15
Jason Aldean,Tonight Looks Good On You,96,53,2,2015-05-15
Brantley Gilbert,One Hell Of An Amen,97,,,2015-05-15
Brad Paisley,Crushin' It,98,,,2015-05-15
Luke Bryan,Games,99,94,2,2015-05-15
"Nicki Minaj, Beyonce",Feeling Myself,100,43,19,2015-05-15
"Wiz Khalifa, Charlie Puth",See You Again,1,1,7,2015-05-08
Fetty Wap,Trap Queen,3,3,14,2015-05-08
The Weeknd,Earned It,4,3,18,2015-05-08
Maroon 5,Sugar,5,2,15,2015-05-08
Ellie Goulding,Love Me Like You Do,6,3,16,2015-05-08
WALK THE MOON,Shut Up And Dance,7,7,24,2015-05-08
Ed Sheeran,Thinking Out Loud,8,2,29,2015-05-08
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,9,8,24,2015-05-08
Jason Derulo,Want To Want Me,10,10,7,2015-05-08
"Natalie La Rose, Jeremih",Somebody,11,10,14,2015-05-08
Taylor Swift,Style,12,6,20,2015-05-08
"Omarion, Chris Brown, Jhene Aiko",Post To Be,13,13,16,2015-05-08
Ariana Grande,One Last Time,14,13,11,2015-05-08
